course_id,userid_DI,final_cc_cname_DI,LoE_DI,YoB,gender,ndays_act
HarvardX/CB22x/2013_Spring,MHxPC130517668,India,Secondary,1995,m,1
HarvardX/CB22x/2013_Spring,MHxPC130482522,United States,Doctorate,1970,m,1
HarvardX/CB22x/2013_Spring,MHxPC130502156,United States,Bachelor's,1954,f,5
HarvardX/CB22x/2013_Spring,MHxPC130498898,United States,Bachelor's,1982,m,6
HarvardX/CB22x/2013_Spring,MHxPC130469496,Japan,Secondary,1994,m,1
HarvardX/CB22x/2013_Spring,MHxPC130341640,United Kingdom,Bachelor's,1976,m,6
HarvardX/CB22x/2013_Spring,MHxPC130214334,Canada,Bachelor's,1988,m,0
HarvardX/CB22x/2013_Spring,MHxPC130221959,United States,Bachelor's,1989,m,3
HarvardX/CB22x/2013_Spring,MHxPC130488992,United States,Secondary,1983,m,0
HarvardX/CB22x/2013_Spring,MHxPC130050264,Other Middle East/Central Asia,Bachelor's,1989,m,3
HarvardX/CB22x/2013_Spring,MHxPC130448452,Other Africa,Bachelor's,1986,m,12
HarvardX/CB22x/2013_Spring,MHxPC130458673,United States,Bachelor's,1979,m,1
HarvardX/CB22x/2013_Spring,MHxPC130520285,United Kingdom,Secondary,1994,m,3
HarvardX/CB22x/2013_Spring,MHxPC130561878,United States,Master's,1976,m,4
HarvardX/CB22x/2013_Spring,MHxPC130188735,Canada,Secondary,1985,m,25
HarvardX/CB22x/2013_Spring,MHxPC130304209,Brazil,Secondary,1984,m,2
HarvardX/CB22x/2013_Spring,MHxPC130319905,Other Middle East/Central Asia,Bachelor's,1989,m,2
HarvardX/CB22x/2013_Spring,MHxPC130458086,Other Europe,Less than Secondary,1995,m,0
HarvardX/CB22x/2013_Spring,MHxPC130134640,Other Europe,Secondary,1995,m,1
HarvardX/CB22x/2013_Spring,MHxPC130131982,India,Bachelor's,1990,m,0
HarvardX/CB22x/2013_Spring,MHxPC130585342,Unknown/Other,Master's,1987,f,0
HarvardX/CB22x/2013_Spring,MHxPC130056262,United States,Bachelor's,1983,f,1
HarvardX/CB22x/2013_Spring,MHxPC130150921,United States,Bachelor's,1988,f,1
HarvardX/CB22x/2013_Spring,MHxPC130306846,United States,Bachelor's,1985,m,1
HarvardX/CB22x/2013_Spring,MHxPC130310511,Canada,Bachelor's,1990,m,2
HarvardX/CB22x/2013_Spring,MHxPC130247253,Other Europe,Secondary,1988,f,2
HarvardX/CB22x/2013_Spring,MHxPC130012759,United States,Bachelor's,1989,f,2
HarvardX/CB22x/2013_Spring,MHxPC130521034,United States,Bachelor's,1985,m,3
HarvardX/CB22x/2013_Spring,MHxPC130189117,United States,Secondary,1989,f,1
HarvardX/CB22x/2013_Spring,MHxPC130323584,Brazil,Bachelor's,1988,m,10
HarvardX/CB22x/2013_Spring,MHxPC130242888,Other Africa,Secondary,1991,m,0
HarvardX/CB22x/2013_Spring,MHxPC130356863,United Kingdom,Bachelor's,1981,f,39
HarvardX/CB22x/2013_Spring,MHxPC130549487,United States,Secondary,1992,m,0
HarvardX/CB22x/2013_Spring,MHxPC130365509,Brazil,Master's,1983,f,4
HarvardX/CB22x/2013_Spring,MHxPC130104321,United States,Bachelor's,1984,m,1
HarvardX/CB22x/2013_Spring,MHxPC130016960,United States,Less than Secondary,1998,m,1
HarvardX/CB22x/2013_Spring,MHxPC130560067,United States,Master's,1958,f,5
HarvardX/CB22x/2013_Spring,MHxPC130203276,United Kingdom,Bachelor's,1968,m,1
HarvardX/CB22x/2013_Spring,MHxPC130445914,United States,Bachelor's,1985,m,5
HarvardX/CB22x/2013_Spring,MHxPC130262394,Brazil,Bachelor's,1989,f,0
HarvardX/CB22x/2013_Spring,MHxPC130336885,United States,Secondary,1993,m,1
HarvardX/CB22x/2013_Spring,MHxPC130409208,United Kingdom,Master's,1987,m,31
HarvardX/CB22x/2013_Spring,MHxPC130324535,United States,Secondary,1982,f,2
HarvardX/CB22x/2013_Spring,MHxPC130247585,United States,Bachelor's,1984,f,0
HarvardX/CB22x/2013_Spring,MHxPC130017135,United States,Bachelor's,1982,f,2
HarvardX/CB22x/2013_Spring,MHxPC130594418,United States,Bachelor's,1987,f,1
HarvardX/CB22x/2013_Spring,MHxPC130406500,United States,Bachelor's,1989,f,5
HarvardX/CB22x/2013_Spring,MHxPC130502845,Unknown/Other,Bachelor's,1984,m,0
HarvardX/CB22x/2013_Spring,MHxPC130132325,India,Bachelor's,1991,m,1
HarvardX/CB22x/2013_Spring,MHxPC130301100,United States,Secondary,1993,m,1
HarvardX/CB22x/2013_Spring,MHxPC130501783,Unknown/Other,Master's,1983,m,0
HarvardX/CB22x/2013_Spring,MHxPC130553273,United States,Bachelor's,1987,m,2
HarvardX/CB22x/2013_Spring,MHxPC130102738,India,Bachelor's,1990,m,1
HarvardX/CB22x/2013_Spring,MHxPC130278207,India,Bachelor's,1988,m,2
HarvardX/CB22x/2013_Spring,MHxPC130276316,United States,Secondary,1981,f,3
